adsh,cik,name,countryba,stprba,cityba,accepted,form,period,fy,fp,Accounts Payable (Current),Accounts Receivable (Current),Accrued Liabilities (Current),Accumulated Depreciation/Amortization,Additional Paid-in Capital,Amortization of Intangibles,Cash From Ops,Net Income,Revenue,Share-based Compensation Expense,Shareholder Equity,Total Assets,ROE,ROA,ROI,Current Ratio,Debt to Equity,Profit Margin,Asset Turnover,Financial Risk Flag,Risk Category,Risk Flag
0000950170-25-055763,9092,BADGER METER INC,US,WI,MILWAUKEE,2025-04-18 09:57:00.0,10-Q,20250331.0,2025.0,Q1,64724000.0,98090000.0,,,66667500.0,,27243500.0,33764500.0,,,143198937.5,858004500.0,0.2357873639949319,0.03935235770907961,0.04256312867894774,1.5155120202706878,4.9916959928560924,,,True,High Risk,1
0000950170-25-056328,717605,HEXCEL CORP /DE/,US,CT,STAMFORD,2025-04-21 16:35:00.0,10-Q,20250331.0,2025.0,Q1,87466666.66666667,158933333.33333334,68400000.0,,975500000.0,933333.3333333334,-17750000.0,,,,371232352.9411765,2752400000.0,,,,1.8170731707317074,6.414224482843312,,,True,High Risk,1
0000950170-25-056789,1463361,"UNITY BIOTECHNOLOGY, INC.",US,CA,SOUTH SAN FRANCISCO,2025-04-22 16:31:00.0,10-Q,20250331.0,2025.0,Q1,1379000.0,,6115500.0,,517128500.0,,-5785000.0,-6547333.333333333,,670333.3333333334,5867500.0,34004500.0,-1.115864223831842,-0.19254314379959514,-0.2006814710374809,,4.795398380911802,,,True,High Risk,1
0000950170-25-056820,315852,RANGE RESOURCES CORP,US,TX,FT WORTH,2025-04-22 16:45:00.0,10-Q,20250331.0,2025.0,Q1,136368000.0,316580500.0,278923500.0,,5925712000.0,,331006500.0,63063333.333333336,668005000.0,3032500.0,1289028000.0,7365199500.0,0.0489231679477353,0.0085623387843511,0.008723862678682349,2.3215160448198993,4.713762230145505,0.09440548099689873,0.09069747533654723,True,High Risk,1
0000950170-25-057339,1365135,WESTERN UNION CO,US,CO,DENVER,2025-04-23 16:06:00.0,10-Q,20250331.0,2025.0,Q1,,,,,1076100000.0,34900000.0,121100000.0,133100000.0,677566666.6666666,9650000.0,,8354200000.0,,0.015932106006559574,,,,0.1964382348600384,0.08110491329710405,True,High Risk,1
0000950170-25-057433,1114995,IMPINJ INC,US,WA,SEATTLE,2025-04-23 16:25:00.0,10-Q,20250331.0,2025.0,Q1,14042000.0,56950500.0,,,549881000.0,948500.0,24498500.0,12446500.0,,4862400.0,43048200.0,484452500.0,0.28912939449268493,0.025691889297712368,0.026458805660162774,4.055725680102549,10.253722571443173,,,True,High Risk,1
0000950170-25-057522,37472,FLEXSTEEL INDUSTRIES INC,US,IA,DUBUQUE,2025-04-23 17:14:00.0,10-Q,20250331.0,2025.0,Q3,,41346500.0,,,,,22857000.0,3226714.285714286,,,59844700.0,270294000.0,0.05391812952048027,0.01193779471876655,,,3.51659044159299,,,True,High Risk,1
0000950170-25-057541,1596967,MOELIS & CO,US,NY,NEW YORK,2025-04-23 17:36:00.0,10-Q,20250331.0,2025.0,Q1,,,,,1759265500.0,,-165239000.0,,9500.0,73105000.0,463068000.0,646338000.0,,,,,0.39577340692943586,,1.4698191967670166e-05,True,High Risk,1
0000950170-25-057987,752714,MCGRATH RENTCORP,US,CA,LIVERMORE,2025-04-24 16:00:00.0,10-Q,20250331.0,2025.0,Q1,,,,,,2600000.0,56651000.0,25528500.0,58779857.14285714,,517075125.0,2259935500.0,0.04937096906373131,0.01129611884940964,,,3.3706134577639952,0.4343069418824233,0.026009528653741287,True,High Risk,1
0000950170-25-057994,903129,GENTHERM INC,US,MI,NOVI,2025-04-24 16:03:00.0,10-Q,20250331.0,2025.0,Q1,235019500.0,271176500.0,,,,,-11833000.0,,,,163102766.66666666,1295901000.0,,,,1.1538468084563196,6.9453036051094985,,,True,High Risk,1
0000950170-25-057997,1448038,REDWOOD MORTGAGE INVESTORS IX,US,CA,SAN MATEO,2025-04-24 16:04:00.0,10-K,20241231.0,2024.0,FY,,,,,,,3439500.0,2158800.0,6169500.0,,,67462500.0,,0.032,,,,0.34991490396304403,0.09145080600333519,True,High Risk,1
0000950170-25-058063,1052752,GETTY REALTY CORP /MD/,US,NY,NEW YORK,2025-04-24 16:15:00.0,10-Q,20250331.0,2025.0,Q1,,,,,1094126000.0,,29314000.0,15754500.0,50650000.0,1500000.0,382890700.0,1971657500.0,0.041146206998498525,0.00799048516286424,,,4.149400338007688,0.31104639684106616,0.02568904589159121,True,High Risk,1
0000950170-25-058066,1467760,"APOLLO COMMERCIAL REAL ESTATE FINANCE, INC.",US,NY,NEW YORK,2025-04-24 16:16:00.0,10-Q,20250331.0,2025.0,Q1,,,,,2694939000.0,,46079500.0,-15990166.666666666,73175500.0,3800000.0,799125700.0,5427530750.0,-0.020009576299031138,-0.002946121800722486,,,5.791836065339909,-0.21851803768565525,0.013482281975095212,True,High Risk,1
0000950170-25-058094,949870,BOSTON BEER CO INC,US,MA,BOSTON,2025-04-24 16:25:00.0,10-Q,20250331.0,2025.0,Q1,98682000.0,74564000.0,,,679394000.0,400000.0,-1472500.0,18504500.0,439959500.0,,328154500.0,1245121000.0,0.05638959697337687,0.014861607827672972,0.016140850058310997,0.7555987920796092,2.7943133493522105,0.04205955320887491,0.3533467831640459,True,High Risk,1
0000950170-25-058103,1057060,MARINEMAX INC,US,FL,CLEARWATER,2025-04-24 16:29:00.0,10-Q,20250331.0,2025.0,Q2,49524000.0,112948500.0,184725500.0,,349685000.0,,-92382500.0,7192500.0,,8375000.0,984622000.0,2639084500.0,0.0073048337331483556,0.002725376925217817,0.002777498343830932,2.2806820935304093,1.6803021870321808,,,True,High Risk,1
0000950170-25-058115,1108109,COMMUNITY HEALTH SYSTEMS INC,US,TN,FRANKLIN,2025-04-24 16:30:00.0,10-Q,20250331.0,2025.0,Q1,943500000.0,2306000000.0,,,2175500000.0,,108000000.0,-27000000.0,1049833333.3333334,,-1918500000.0,13972000000.0,0.014073494917904612,-0.001932436301173776,-0.002072379782783897,2.4440911499735027,-8.282772999739379,-0.025718367994919826,0.07513837198205936,True,High Risk,1
0000950170-25-058129,1607678,"VIKING THERAPEUTICS, INC.",US,CA,SAN DIEGO,2025-04-24 16:38:00.0,10-Q,20250331.0,2025.0,Q1,8757500.0,,,,1374820500.0,,-29232500.0,-36492500.0,,0.0,863598000.0,887657000.0,-0.04225635075579147,-0.04111103725876099,-0.041520674434335214,,0.027859027000988888,,,True,High Risk,1
0000950170-25-058170,811596,KAISER ALUMINUM CORP,US,TN,FRANKLIN,2025-04-24 17:00:00.0,10-Q,20250331.0,2025.0,Q1,278300000.0,333550000.0,,,1118200000.0,1100000.0,60150000.0,14925000.0,,,173932352.94117647,2424750000.0,0.0858092226524849,0.006155273739560779,0.006953341563977731,1.1985267696730146,12.940764665099683,,,True,High Risk,1
0000950170-25-058211,1472787,FIRST AMERICAN FINANCIAL CORP,US,CA,SANTA ANA,2025-04-24 17:39:00.0,10-Q,20250331.0,2025.0,Q1,,,,,1785950000.0,10950000.0,8250000.0,60450000.0,693907692.3076923,13500000.0,4963900000.0,8139515384.615385,0.012177924615725538,0.007426732077226294,,,0.6397420142660781,0.08711533345157857,0.08525172071291334,True,High Risk,1
0000950170-25-058413,87347,SCHLUMBERGER LIMITED/NV,US,TX,HOUSTON,2025-04-25 11:06:00.0,10-Q,20250331.0,2025.0,Q1,,,,,,81500000.0,493500000.0,932500000.0,,377375000.0,20322500000.0,48968500000.0,0.04588510271866158,0.019042854079663458,,,1.4095706728994957,,,True,High Risk,1
0000950170-25-058642,1056696,MANHATTAN ASSOCIATES INC,US,GA,ATLANTA,2025-04-25 15:23:00.0,10-Q,20250331.0,2025.0,Q1,25407000.0,208084500.0,,,,,64999000.0,53191500.0,,,132763250.0,366443000.0,0.4006492760609581,0.14515627259901268,0.15597033744238145,8.190046050301099,1.760123754126236,,,True,High Risk,1
0000950170-25-058697,2027317,CURBLINE PROPERTIES CORP.,US,NY,NEW YORK,2025-04-25 16:05:00.0,10-Q,20250331.0,2025.0,Q1,,,,,,,20417500.0,5296285.714285715,33367000.0,1198000.0,1937805000.0,2076891000.0,0.0027331365716806977,0.0025501028769857035,,,0.0717750238027046,0.1587282558901224,0.016065840720577054,True,High Risk,1
0000950170-25-058706,1811414,QUANTUMSCAPE CORP,US,CA,SAN JOSE,2025-04-25 16:07:00.0,10-Q,20250331.0,2025.0,Q1,7126000.0,,19811500.0,,3039119333.3333335,,-59347000.0,-117535500.0,,13329333.333333334,486272400.0,1290643500.0,-0.2417071172453958,-0.09106736290850262,-0.09157296258134384,,1.6541574228765605,,,True,High Risk,1
0000950170-25-058735,1521951,"FIRST BUSINESS FINANCIAL SERVICES, INC.",US,WI,MADISON,2025-04-25 16:16:00.0,10-Q,20250331.0,2025.0,Q1,,,,,,,9992000.0,10009500.0,64824500.0,,89430571.42857143,3889880600.0,0.11192481318309175,0.002573215229279788,,,42.49609465603006,0.15440921256623652,0.016664907401013798,True,High Risk,1
0000950170-25-058770,106535,WEYERHAEUSER CO,US,WA,SEATTLE,2025-04-25 16:30:00.0,10-Q,20250331.0,2025.0,Q1,271500000.0,344000000.0,471000000.0,,7491500000.0,,97000000.0,98500000.0,267965517.24137932,,2183806451.612903,8264000000.0,0.04510472982953707,0.01191916747337851,0.01232405380043791,1.267034990791897,2.7842181452923276,0.3675846094453738,0.03242564342223854,True,High Risk,1
0000950170-25-058900,1958086,CORE LABORATORIES INC. /DE/,US,TX,HOUSTON,2025-04-25 18:36:00.0,10-Q,20250331.0,2025.0,Q1,36523000.0,114396000.0,,,111560500.0,126000.0,6095000.0,1533000.0,,,252689500.0,327704888.8888889,0.006066734074823054,0.004677989410526544,0.005264750516763672,3.1321632943624564,0.2968678512122146,,,True,High Risk,1
0000950170-25-058940,1286681,DOMINOS PIZZA INC,US,MI,ANN ARBOR,2025-04-28 06:10:00.0,10-Q,20250331.0,2025.0,Q1,104492000.0,305970500.0,,,1082000.0,,151270000.0,137737500.0,318705588.2352941,,-1323814166.6666667,1807316000.0,-0.10404594804029015,0.07621107764220535,0.08088769009598173,2.928171534662941,-2.3652339168954355,0.4321778628440964,0.17634192816048444,True,High Risk,1
0000950170-25-059254,42682,GORMAN RUPP CO,US,OH,MANSFIELD,2025-04-28 15:45:00.0,10-Q,20250331.0,2025.0,Q1,26077500.0,90583500.0,11404000.0,,,,15921000.0,10006000.0,,,88081312.5,858158000.0,0.11359957879828368,0.01165985750875713,0.012025278804154165,3.473626689675007,8.742793058402711,,,True,High Risk,1
0000950170-25-059315,1177702,SAIA INC,US,GA,JOHNS CREEK,2025-04-28 16:13:00.0,10-Q,20250331.0,2025.0,Q1,134777500.0,337048500.0,,,295282500.0,,107770500.0,56642000.0,771175000.0,,864213000.0,3266039000.0,0.06554171251763165,0.01734272003488017,0.01808919504167889,2.5007772068780025,2.7792060522116655,0.07344895775926347,0.2361193482380339,True,High Risk,1
0000950170-25-059357,1808865,"ITEOS THERAPEUTICS, INC.",US,MA,WATERTOWN,2025-04-28 16:37:00.0,10-Q,20250331.0,2025.0,Q1,11100666.666666666,,,,,,-33082000.0,-36409666.666666664,0.0,3971142.8571428573,227014600.0,672923500.0,-0.16038469185094995,-0.054106695139442544,-0.05501421956581028,,1.964230053926047,,0.0,True,High Risk,1
0000950170-25-059393,79282,"BROWN & BROWN, INC.",US,FL,DAYTONA BEACH,2025-04-28 17:06:00.0,10-Q,20250331.0,2025.0,Q1,427000000.0,,558000000.0,,1112500000.0,,113000000.0,312000000.0,550750000.0,,,17186000000.0,,0.018154311649016642,0.0186168625812996,,,0.566500226963232,0.032046433143256135,True,High Risk,1
0000950170-25-059477,46195,BANK OF HAWAII CORP,US,HI,HONOLULU,2025-04-28 18:54:00.0,10-Q,20250331.0,2025.0,Q1,,,,,,,36841000.0,13927500.0,,,261995261.9047619,13134771777.777779,0.05315935829810081,0.001060353406639574,,,49.13362334221299,,,True,High Risk,1
0000950170-25-059548,7431,ARMSTRONG WORLD INDUSTRIES INC,US,PA,LANCASTER,2025-04-29 07:00:00.0,10-Q,20250331.0,2025.0,Q1,,,,,605750000.0,5400000.0,33700000.0,46537500.0,,,141858333.33333334,924275000.0,0.32805615931386944,0.050350274539503935,,,5.515479057745402,,,True,High Risk,1
0000950170-25-059817,1021860,NOV INC.,US,TX,HOUSTON,2025-04-29 13:26:00.0,10-Q,20250331.0,2025.0,Q1,816500000.0,,773000000.0,,8585500000.0,,28500000.0,30571428.57142857,,17500000.0,6408000000.0,6279666666.666667,0.0047708221865525235,0.004868320277843076,0.0055959172466692525,,-0.020027049521431493,,,True,High Risk,1
0000950170-25-060077,1445283,"KINETA, INC./DE",US,WA,MERCER ISLAND,2025-04-29 16:02:00.0,10-K/A,20241231.0,2024.0,FY,,,,,,,,-31533333.333333332,,,,,,,,,,,,True,High Risk,1
0000950170-25-060107,1045609,"PROLOGIS, INC.",US,CA,SAN FRANCISCO,2025-04-29 16:08:00.0,10-Q,20250331.0,2025.0,Q1,,,,,,,1108106500.0,596777750.0,619916000.0,,53709174000.0,26544434454.545456,0.01111128147306827,0.02248221754439406,,,-0.5057746660832011,0.9626751850250679,0.023353897445490532,True,High Risk,1
0000950170-25-060136,3197,CECO ENVIRONMENTAL CORP,US,TX,ADDISON,2025-04-29 16:13:00.0,10-Q,20250331.0,2025.0,Q1,109587500.0,141559000.0,26776000.0,,255509000.0,2638250.0,-5236000.0,9973000.0,257233333.33333334,2550000.0,266740000.0,858397000.0,0.03738846817125291,0.01161816735147024,0.013318474191366428,1.2917440401505647,2.2181037714628475,0.03877024750550732,0.2996670926544866,True,High Risk,1
0000950170-25-060156,730272,REPLIGEN CORP,US,MA,WALTHAM,2025-04-29 16:17:00.0,10-Q,20250331.0,2025.0,Q1,29534500.0,140764000.0,69232500.0,,1618457000.0,8900000.0,29856500.0,4563000.0,,,788863800.0,2840904500.0,0.005784268463073093,0.0016061785955846105,0.001623052106268474,4.7660871184546885,2.6012610795425015,,,True,High Risk,1
0000950170-25-060158,1597553,"SAGE THERAPEUTICS, INC.",US,MA,CAMBRIDGE,2025-04-29 16:18:00.0,10-Q,20250331.0,2025.0,Q1,9067000.0,9915750.0,50064500.0,,3439101500.0,,-59780000.0,-85348500.0,79490235.29411764,4358333.333333333,198355666.66666666,508445500.0,-0.43028011971761165,-0.1678616488886223,-0.17090944043446005,1.0936086908569538,1.5633021155600968,-1.073697916281245,0.15633973610567434,True,High Risk,1
0000950170-25-060207,1622194,"EASTERLY GOVERNMENT PROPERTIES, INC.",US,DC,WASHINGTON,2025-04-29 16:31:00.0,10-Q,20250331.0,2025.0,Q1,,,,,1895042000.0,,24039000.0,3876500.0,75737500.0,1325000.0,1327404500.0,3223839000.0,0.002920360749116038,0.0012024483852946751,,,1.428678673305688,0.051183363591351706,0.023492953587322445,True,High Risk,1
0000950170-25-060208,1602842,MOGO INC.,CA,BC,VANCOUVER,2025-04-29 16:31:00.0,20-F,20241231.0,2024.0,FY,,,,,,,,,,,,198705500.0,,,,,,,,True,High Risk,1
0000950170-25-060216,1800347,"E2OPEN PARENT HOLDINGS, INC.",US,TX,ADDISON,2025-04-29 16:32:00.0,10-K,20250228.0,2024.0,FY,,147496000.0,,,3426139000.0,71511000.0,84035333.33333333,-792852333.3333334,,11893333.333333334,1164744000.0,2756345000.0,-0.6807095235805751,-0.28764626102078417,,,1.366481389901987,,,True,High Risk,1
0000950170-25-060260,1339605,"H&E EQUIPMENT SERVICES, INC.",US,LA,BATON ROUGE,2025-04-29 16:45:00.0,10-Q,20250331.0,2025.0,Q1,,,,,274568500.0,2542500.0,90574500.0,9840500.0,113357473.68421052,3300000.0,231132900.0,1824530000.0,0.04257507260974098,0.005393443791003711,,,6.893856737833515,0.0868094504947553,0.06212968473207375,True,High Risk,1
0000950170-25-060314,1743881,"BRIDGEBIO PHARMA, INC.",US,CA,PALO ALTO,2025-04-29 17:05:00.0,10-Q,20250331.0,2025.0,Q1,18571500.0,28355285.714285713,,,1920762000.0,525000.0,-209386000.0,,,9943448.27586207,-1558149500.0,900488000.0,,,,1.5268172045492132,-1.5779214382188615,,,True,High Risk,1
0000950170-25-060339,1529864,"ENOVA INTERNATIONAL, INC.",US,IL,CHICAGO,2025-04-29 17:15:00.0,10-Q,20250331.0,2025.0,Q1,,,,,321379333.3333333,,369853500.0,60686500.0,451810000.0,,1181261666.6666667,4187741000.0,0.051374307414247755,0.014491464491237638,,,2.545142552383962,0.13431862951240567,0.10788871613597881,True,High Risk,1
0000950170-25-060389,1021635,OGE ENERGY CORP.,US,OK,OKLAHOMA CITY,2025-04-29 17:41:00.0,10-Q,20250331.0,2025.0,Q1,252450000.0,257050000.0,,,,,67550000.0,44375000.0,403350000.0,2066666.6666666667,4995850000.0,8622736363.636364,0.008882372369066326,0.005146278179991376,0.0053014912599384295,1.0182214299861359,0.7259798359911455,0.11001611503656873,0.04677749417238358,False,Low Risk,0
0000950170-25-060544,275880,PARSONS CORP,US,VA,CENTREVILLE,2025-04-30 06:35:00.0,10-Q,20250331.0,2025.0,Q1,144147250.0,498975500.0,,,2672658000.0,7140000.0,-37603500.0,11006800.0,,,1040498333.3333334,2626098833.3333335,0.010578392725280675,0.004191312170086515,0.004434735985146635,3.461567945278179,1.52388567016766,,,True,High Risk,1
0000950170-25-060582,924717,SURMODICS INC,US,MN,EDEN PRAIRIE,2025-04-30 07:55:00.0,10-Q,20250331.0,2025.0,Q2,3086500.0,12440500.0,3880500.0,,45570500.0,1375000.0,-4161000.0,-3590250.0,,1336375.0,47128133.333333336,170888000.0,-0.07618061115653495,-0.021009374561116054,-0.02139581588960766,4.030617203952697,2.626029462939334,,,True,High Risk,1
0000950170-25-060629,751978,VICOR CORP,US,MA,ANDOVER,2025-04-30 09:31:00.0,10-Q,20250331.0,2025.0,Q1,12801500.0,59406000.0,7573500.0,,411374000.0,,11355000.0,-5967000.0,,2032250.0,575189500.0,653078000.0,-0.010373972403877331,-0.009136734050144087,-0.009319411223120012,4.640549935554427,0.1354136332460867,,,True,High Risk,1
0000950170-25-060698,1126956,SPIRE INC,US,MO,ST LOUIS,2025-04-30 10:40:00.0,10-Q,20250331.0,2025.0,Q2,76933333.33333333,,,,,,321600000.0,154033333.33333334,,,883200000.0,3793591666.6666665,0.17440368357487923,0.04060356170823165,0.041444039112195324,,3.29528041968599,,,True,High Risk,1
0000950170-25-060853,1156388,BIG 5 SPORTING GOODS CORP,US,CA,EL SEGUNDO,2025-04-30 13:31:00.0,10-Q,20250331.0,2025.0,Q1,83978500.0,,58213000.0,,131499000.0,273000.0,-3527000.0,-12768000.0,,700000.0,81439900.0,618836500.0,-0.15677818857832584,-0.020632267165883074,-0.023871756615774654,,6.598689340237402,,,True,High Risk,1
0000950170-25-060885,26058,CTS CORP,US,IL,LISLE,2025-04-30 13:56:00.0,10-Q,20250331.0,2025.0,Q1,42905500.0,79580250.0,25551714.285714287,,42733000.0,3428000.0,47122875.0,21838615.384615384,135469000.0,,200611310.3448276,553644285.7142857,0.10886033966418611,0.03944521048644119,0.042758873998718014,1.8547796902495017,1.7597859999151362,0.16120747465926066,0.24468598971490202,False,Low Risk,0
0000950170-25-060893,1771514,EXCHANGERIGHT INCOME FUND,US,CA,PASADENA,2025-04-30 14:00:00.0,10-Q,20250331.0,2025.0,Q1,,,,,430657000.0,,10389000.0,-395000.0,22387500.0,,343149000.0,1253273500.0,-0.001151103456515974,-0.00031517462070330217,,,2.652272045088285,-0.017643774427694027,0.01786321979998779,True,High Risk,1
0000950170-25-060940,916076,MARTIN MARIETTA MATERIALS INC,US,NC,RALEIGH,2025-04-30 15:02:00.0,10-Q,20250331.0,2025.0,Q1,336500000.0,705500000.0,,,3556500000.0,,195000000.0,580500000.0,,,9267000000.0,8769916666.666666,0.06264163159598575,0.06619219110785926,0.06883331192379523,2.096582466567608,-0.05364015682889112,,,True,High Risk,1
0000950170-25-060988,775158,OSHKOSH CORP,US,WI,OSHKOSH,2025-04-30 15:48:00.0,10-Q,20250331.0,2025.0,Q1,1056750000.0,,,,843100000.0,9250000.0,-375350000.0,,,8850000.0,4193350000.0,9592250000.0,,,,,1.2874909082237351,,,True,High Risk,1
0000950170-25-061007,1018979,AMERISAFE INC,US,LA,DERIDDER,2025-04-30 16:01:00.0,10-Q,20250331.0,2025.0,Q1,,,,,224141500.0,,2857000.0,8608833.333333334,76543000.0,900000.0,92641583.33333333,1157254000.0,0.09292623273026243,0.007439017997201421,,,11.491733823633915,0.1124705503224767,0.06614191871447408,True,High Risk,1
0000950170-25-061008,1508655,"SIXTH STREET SPECIALTY LENDING, INC.",US,TX,DALLAS,2025-04-30 16:02:00.0,10-Q,20250331.0,2025.0,Q1,,,,,1522555500.0,,42190500.0,42236500.0,,,629732666.6666666,3540362500.0,0.0670705241059963,0.011929993044497562,,,4.622008651290125,,,True,High Risk,1
0000950170-25-061012,1464423,PENNYMAC MORTGAGE INVESTMENT TRUST,US,CA,WESTLAKE VILLAGE,2025-04-30 16:02:00.0,10-Q,20250331.0,2025.0,Q1,,,,,1924984500.0,,-468319000.0,19096000.0,,,775722100.0,6845942200.0,0.024617063249841663,0.0027893896036691635,,,7.8252509500502825,,,True,High Risk,1
0000950170-25-061031,1669811,"DONNELLEY FINANCIAL SOLUTIONS, INC.",US,PA,LANCASTER,2025-04-30 16:06:00.0,10-Q,20250331.0,2025.0,Q1,33550000.0,,163300000.0,,336450000.0,,-32800000.0,21433333.333333332,,,94215625.0,847200000.0,0.22749234358242948,0.02529902423670129,0.02634220283086503,,7.99213904275432,,,True,High Risk,1
0000950170-25-061046,789019,MICROSOFT CORP,US,WA,REDMOND,2025-04-30 16:09:00.0,10-Q,20250331.0,2025.0,Q3,24123000000.0,54312000000.0,,,,2700000000.0,60957250000.0,47115500000.0,,,61575897435.89744,537393500000.0,0.7651614018138965,0.0876741158945912,0.09179467746539105,2.2514612610371842,7.727335246058647,,,True,High Risk,1
0000950170-25-061074,880117,SANFILIPPO JOHN B & SON INC,US,IL,ELGIN,2025-04-30 16:16:00.0,10-Q,20250331.0,2025.0,Q3,52286666.666666664,78378666.66666667,,,136302666.66666666,699500.0,30226000.0,20494928.57142857,271021500.0,2161750.0,89795821.42857143,532493000.0,0.22823922366734373,0.03848863472651954,0.042679421633537884,1.4990182328190744,4.930042083568158,0.07562104324353813,0.5089672540296304,True,High Risk,1
0000950170-25-061080,1481582,RYERSON HOLDING CORP,US,IL,CHICAGO,2025-04-30 16:18:00.0,10-Q,20250331.0,2025.0,Q1,474450000.0,,,,425300000.0,,-44500000.0,-6600000.0,,,218483333.33333334,2481550000.0,-0.03020825387138607,-0.0026596280550462413,-0.0032883264411339742,,10.358074605233044,,,True,High Risk,1
0000950170-25-061082,906107,EQUITY RESIDENTIAL,US,IL,CHICAGO,2025-04-30 16:19:00.0,10-Q,20250331.0,2025.0,Q1,,,,,,,423278000.0,278752333.3333333,,,3015330909.090909,11602151222.222221,0.09244502236650844,0.024025917952131503,,,2.847720721875978,,,True,High Risk,1
0000950170-25-061089,1593538,NAVIENT CORP,US,VA,HERNDON,2025-04-30 16:21:00.0,10-Q,20250331.0,2025.0,Q1,,,,,3385000000.0,,126500000.0,17277777.777777776,,,896333333.3333334,20465041666.666668,0.019276062972604435,0.0008442581285294773,,,21.831954258088512,,,True,High Risk,1
0000950170-25-061098,1690334,SEACOR MARINE HOLDINGS INC.,US,TX,HOUSTON,2025-04-30 16:24:00.0,10-Q,20250331.0,2025.0,Q1,28840500.0,66917000.0,,,480093500.0,,-9317500.0,,,,290857500.0,380643750.0,,,,2.320244101177164,0.30869497950027075,,,True,High Risk,1
0000950170-25-061099,1605607,"PARAMOUNT GROUP, INC.",US,NY,NEW YORK,2025-04-30 16:25:00.0,10-Q,20250331.0,2025.0,Q1,,,,,4122318500.0,3959000.0,39382000.0,-3474333.3333333335,119515500.0,,3114214000.0,3968071100.0,-0.0011156373111588778,-0.0008755723488254364,,,0.2741806118654659,-0.029070148502356043,0.030119293981400685,True,High Risk,1
0000950170-25-061108,788784,PUBLIC SERVICE ENTERPRISE GROUP INC,US,NJ,NEWARK,2025-04-30 16:30:00.0,10-Q,20250331.0,2025.0,Q1,433000000.0,1484000000.0,,,,,687500000.0,366416666.6666667,1438583333.3333333,,,31419400000.0,,0.011662115338506359,0.01182508025026033,3.4272517321016167,,0.2547065979262006,0.045786467384270016,True,High Risk,1
0000950170-25-061127,1699838,"CONFLUENT, INC.",US,CA,MOUNTAIN VIEW,2025-04-30 16:31:00.0,10-Q,20250331.0,2025.0,Q1,6757000.0,306084000.0,18490500.0,,,0.0,-26354000.0,-80270500.0,,31316166.666666668,364219100.0,2696792500.0,-0.22039069340405268,-0.029765174739992045,-0.02983994077401581,45.298801243155246,6.40431377706441,,,True,High Risk,1
0000950170-25-061149,60714,"LSB INDUSTRIES, INC.",US,OK,OKLAHOMA CITY,2025-04-30 16:38:00.0,10-Q,20250331.0,2025.0,Q1,71176000.0,45315500.0,,,,,15471500.0,1991500.0,,,201871900.0,1181563000.0,0.009865166969746656,0.0016854793184959244,0.0017935188362255682,0.6366682589636956,4.853033532651152,,,True,High Risk,1
0000950170-25-061161,1402436,SS&C TECHNOLOGIES HOLDINGS INC,US,CT,WINDSOR,2025-04-30 16:42:00.0,10-Q,20250331.0,2025.0,Q1,65050000.0,919150000.0,,,6009350000.0,,226350000.0,185300000.0,,18337500.0,1417562500.0,19724800000.0,0.13071734050526873,0.009394265087605451,0.009425348745533387,14.12990007686395,12.914589303822583,,,True,High Risk,1
0000950170-25-061164,1111741,"DYNARESOURCE, INC.",US,TX,IRVING,2025-04-30 16:42:00.0,10-K/A,20241231.0,2024.0,FY,2690052.0,1044409.5,8792469.0,,,,-12836832.5,-11334178.0,27358736.666666668,940000.0,1772434.956521739,27508028.25,-6.394693333199889,-0.4120316402539684,-0.45669227360953735,0.3882488145210576,14.519908445036704,-0.4142800209707539,0.9945727995486797,True,High Risk,1
0000950170-25-061198,899629,ACADIA REALTY TRUST,US,NY,RYE,2025-04-30 16:57:00.0,10-Q,20250331.0,2025.0,Q1,,,,,2570508000.0,1150000.0,25940500.0,,15232500.0,100000.0,2181816000.0,1486953952.3809524,,,,,-0.31847875697082045,,0.010244096648459957,True,High Risk,1
0000950170-25-061222,1374690,"LARIMAR THERAPEUTICS, INC.",US,PA,BALA CYNWYD,2025-04-30 17:07:00.0,10-Q,20250331.0,2025.0,Q1,2349000.0,,19818000.0,,441675000.0,,-18475500.0,-21978333.333333332,,1132000.0,62864700.0,185200000.0,-0.34961326998034403,-0.11867350611951043,-0.12019804831985241,,1.9460094456825532,,,True,High Risk,1
0001000753-25-000023,1000753,"INSPERITY, INC.",US,TX,KINGWOOD,2025-04-29 16:38:00.0,10-Q,20250331.0,2025.0,Q1,9000000.0,,94500000.0,,215500000.0,,-206000000.0,43333333.333333336,,10500000.0,45000000.0,2370000000.0,0.962962962962963,0.01828410689170183,0.01835380488493576,,51.666666666666664,,,True,High Risk,1
0001002638-25-000040,1002638,OPEN TEXT CORP,CA,ON,ONTARIO CANADA,2025-04-30 16:04:00.0,10-Q,20250331.0,2025.0,Q3,140841500.0,609629000.0,251409500.0,,,189429250.0,727449000.0,203746500.0,,18233785.714285713,4163448000.0,13980266500.0,0.04893696282504309,0.01457386381010691,0.014722179570321743,4.3284756268571405,2.3578578380227158,,,True,High Risk,1
0001003078-25-000047,1003078,MSC INDUSTRIAL DIRECT CO INC,US,NY,MELVILLE,2025-04-03 14:16:00.0,10-Q,20250228.0,2025.0,Q2,209495000.0,403711000.0,151621000.0,,,,158122500.0,52878416.666666664,,,1374144500.0,2462245500.0,0.03848097246444363,0.021475688214951216,0.02347282429486384,1.9270674717773695,0.7918388495533039,,,True,High Risk,1
