adsh,cik,name,countryba,stprba,cityba,accepted,form,period,fy,fp,Accounts Payable (Current),Accounts Receivable (Current),Accrued Liabilities (Current),Accumulated Depreciation/Amortization,Additional Paid-in Capital,Amortization of Intangibles,Cash From Ops,Net Income,Revenue,Share-based Compensation Expense,Shareholder Equity,Total Assets,ROE,ROA,ROI,Current Ratio,Debt to Equity,Profit Margin,Asset Turnover,Risk Flag,Risk Category
0000950170-22-001860,1815442,"KYMERA THERAPEUTICS, INC.",US,MA,WATERTOWN,2022-02-24 07:16:00.0,10-K,20211231.0,2021.0,FY,4368000.0,,10330000.0,,689275000.0,,17905000.0,-41246000.0,,2885000.0,-128765000.0,605905000.0,0.32031996272278956,-0.06807337783976036,-0.06856768577826468,,-5.705510037665515,,,True,High Risk
0000950170-22-001871,1059142,"AMERICA FIRST MULTIFAMILY INVESTORS, L.P.",US,NE,OMAHA,2022-02-24 08:47:00.0,10-K,20211231.0,2021.0,FY,,,,,,,15841497.0,6488217.0,14387488.0,1300000.0,,-113818107.0,,-0.057005138909927575,,,,0.45096246127190515,-0.12640772526642005,True,High Risk
0000950170-22-001913,75677,PACKAGING CORP OF AMERICA,US,IL,LAKE FOREST,2022-02-24 13:46:00.0,10-K,20211231.0,2021.0,FY,387000000.0,39600000.0,255000000.0,,579400000.0,38600000.0,1032800000.0,696400000.0,,7800000.0,-400000.0,3500000.0,-1741.0,198.97142857142856,-1.8159061277705346,0.10232558139534884,-9.75,,,True,High Risk
0000950170-22-001958,1755237,"CYCLERION THERAPEUTICS, INC.",US,MA,CAMBRIDGE,2022-02-24 16:06:00.0,10-K,20211231.0,2021.0,FY,1149000.0,0.0,,,222949000.0,,-72490000.0,-51647000.0,2296000.0,14992000.0,-215076000.0,115378000.0,0.24013372017333406,-0.4476329976251972,-0.45213562230256765,0.0,-1.5364522308393311,-22.494337979094077,0.019899807588968435,True,High Risk
0000950170-22-001961,1339605,"H&E EQUIPMENT SERVICES, INC.",US,LA,BATON ROUGE,2022-02-24 16:07:00.0,10-K,20211231.0,2021.0,FY,,,,,244638000.0,4132000.0,259572000.0,-32667000.0,644445000.0,4700000.0,396000.0,12647000.0,-82.49242424242425,-2.5829841069028228,,,30.93686868686869,-0.05069012871540628,50.956353285364116,True,High Risk
0000950170-22-001962,1365135,WESTERN UNION CO,US,CO,DENVER,2022-02-24 16:08:00.0,10-K,20211231.0,2021.0,FY,,,,,885100000.0,164300000.0,914600000.0,1058300000.0,4220000000.0,48900000.0,,5583500000.0,,0.18954061072803796,,,,0.250781990521327,0.7557983343780783,True,High Risk
0000950170-22-001965,1070750,"HOST HOTELS & RESORTS, INC.",US,MD,BETHESDA,2022-02-24 16:11:00.0,10-K,20211231.0,2021.0,FY,,,,,7702000000.0,,1250000000.0,920000000.0,,2000000.0,6321000000.0,12890000000.0,0.14554659072931497,0.07137315748642359,,,1.039234298370511,,,True,High Risk
0000950170-22-001967,1422143,"KURA ONCOLOGY, INC.",US,CA,SAN DIEGO,2022-02-24 16:11:00.0,10-K,20211231.0,2021.0,FY,2753000.0,,,,941359000.0,,-54760000.0,-63140000.0,,,-212877000.0,647212000.0,0.2966032027884647,-0.09755690561979691,-0.09797364921585391,,-4.0403096623872,,,True,High Risk
0000950170-22-001976,1575515,"SPROUTS FARMERS MARKET, INC.",US,AZ,PHOENIX,2022-02-24 16:16:00.0,10-K,20211231.0,2021.0,FY,145901000.0,,155996000.0,,704701000.0,,364799000.0,149629000.0,,15883000.0,11426000.0,2923115000.0,13.095483983896377,0.05118820162737354,0.05387737495202026,,254.83012427796254,,,True,High Risk
0000950170-22-001977,1598428,TIMKENSTEEL CORP,US,OH,CANTON,2022-02-24 16:17:00.0,10-K,20211231.0,2021.0,FY,,63300000.0,,,843400000.0,5000000.0,196900000.0,171000000.0,,6600000.0,44700000.0,1158900000.0,3.825503355704698,0.14755371472948486,,,24.926174496644297,,,True,High Risk
0000950170-22-001978,1812364,"RELAY THERAPEUTICS, INC.",US,MA,CAMBRIDGE,2022-02-24 16:17:00.0,10-K,20211231.0,2021.0,FY,8276000.0,75000000.0,1500000.0,,,,-66133000.0,-363872000.0,82654000.0,17269000.0,3000.0,1008443000.0,-121290.66666666667,-0.3608255498823434,-0.3638112435223318,9.062348960850652,336146.6666666667,-4.40235197328623,0.08196199487725137,True,High Risk
0000950170-22-001979,1653087,"ALECTOR, INC.",US,CA,SOUTH SAN FRANCISCO,2022-02-24 16:18:00.0,10-K,20211231.0,2021.0,FY,4749000.0,,22538000.0,,,,298551000.0,-36329000.0,,16281000.0,-410048000.0,814658000.0,0.08859694474793195,-0.04459417326043567,-0.04485565662315149,,-2.9867381379740907,,,True,High Risk
0000950170-22-001981,1652130,"INTELLIA THERAPEUTICS, INC.",US,MA,CAMBRIDGE,2022-02-24 16:23:00.0,10-K,20211231.0,2021.0,FY,10460000.0,2031000.0,43309000.0,,962173000.0,,-225030000.0,-99533000.0,,15091000.0,-320000.0,676322000.0,311.040625,-0.14716806491582413,-0.14947992226617526,0.19416826003824092,-2114.50625,,,True,High Risk
0000950170-22-001990,1389002,MARIN SOFTWARE INC,US,CA,SAN FRANCISCO,2022-02-24 16:34:00.0,10-K,20211231.0,2021.0,FY,928000.0,5063000.0,962000.0,,351394000.0,95000.0,-7942000.0,-12944000.0,,408000.0,-1044000.0,37009000.0,12.398467432950191,-0.349752762841471,-0.3587483717191874,5.455818965517241,-36.4492337164751,,,True,High Risk
0000950170-22-002008,1699838,"CONFLUENT, INC.",US,CA,MOUNTAIN VIEW,2022-02-24 17:22:00.0,10-K,20211231.0,2021.0,FY,1646000.0,137491000.0,7225000.0,,,,-105060000.0,-229828000.0,,1161000.0,-81183000.0,2342729000.0,2.8309867829471687,-0.09810268281137084,-0.09817165815992,83.53037667071689,-29.857383935060295,,,True,High Risk
0000950170-22-002013,1724965,TALOS ENERGY INC.,US,TX,HOUSTON,2022-02-24 18:24:00.0,10-K,20211231.0,2021.0,FY,104864000.0,106220000.0,130459000.0,,1659800000.0,,393733000.0,-182952000.0,0.0,8669000.0,542000.0,2766815000.0,-337.549815498155,-0.06612368373020965,-0.06872853782808173,1.0129310344827587,5103.824723247232,,0.0,True,High Risk
0000950170-22-002023,1494259,"CARGURUS, INC.",US,MA,CAMBRIDGE,2022-02-24 20:11:00.0,10-K,20211231.0,2021.0,FY,66153000.0,18235000.0,,,387868000.0,29100000.0,98292000.0,109244000.0,,42203000.0,-403000.0,32012000.0,-271.0769230769231,3.412595276771211,-3.1997891098679005,0.27564887457862836,-80.43424317617865,,,True,High Risk
0000950170-22-002030,1743881,"BRIDGEBIO PHARMA, INC.",US,CA,PALO ALTO,2022-02-25 06:07:00.0,10-K,20211231.0,2021.0,FY,11884000.0,,,,853266000.0,2600000.0,-497934000.0,,,5743000.0,-870414000.0,703588000.0,,,,,-1.808337182076575,,,True,High Risk
0000950170-22-002035,1385280,"CINEMARK HOLDINGS, INC.",US,TX,PLANO,2022-02-25 06:52:00.0,10-K,20211231.0,2021.0,FY,70646000.0,25265000.0,,,1245569000.0,2639000.0,-6035000.0,-134562000.0,114639000.0,6425000.0,322904000.0,789268000.0,-0.4167244753858732,-0.1704896182285358,-0.18725004244234103,0.357628174277383,1.4442806530733592,-1.1737890246774658,0.1452472417480501,True,High Risk
0000950170-22-002040,1705181,GRAYSCALE ETHEREUM CLASSIC TRUST (ETC),US,CT,STAMFORD,2022-02-25 08:42:00.0,10-K,20211231.0,2021.0,FY,,,,,,,,,,,,69604000.0,,,,,,,,True,High Risk
0000950170-22-002041,1725210,GRAYSCALE ETHEREUM TRUST (ETH),US,CT,STAMFORD,2022-02-25 08:44:00.0,10-K,20211231.0,2021.0,FY,,,,,-918804000.0,,,,,,,2188127000.0,,,,,,,,True,High Risk
0000950170-22-002052,760498,BANCFIRST CORP /OK/,US,OK,OKLAHOMA CITY,2022-02-25 10:42:00.0,10-K,20211231.0,2021.0,FY,,,,,156574000.0,3366000.0,58369000.0,134879000.0,51759000.0,,871161000.0,1271675000.0,0.1548267197452595,0.10606404938368687,,,0.45974739456885694,2.6059042871771094,0.040701437081015195,True,High Risk
0000950170-22-002054,926282,ADTRAN INC,US,AL,HUNTSVILLE,2022-02-25 11:01:00.0,10-K,20211231.0,2021.0,FY,102489000.0,158700000.0,,,288946000.0,5300000.0,-2472000.0,-52982000.0,,3889000.0,267670000.0,525679000.0,-0.19793775918108117,-0.10078774309036503,-0.1251967201493419,1.5484588589995023,0.9639070497254082,,,True,High Risk
0000950170-22-002088,884219,VIAD CORP,US,AZ,SCOTTSDALE,2022-02-25 15:16:00.0,10-K,20211231.0,2021.0,FY,69657000.0,17837000.0,,,568100000.0,,108139000.0,-374094000.0,,100000.0,95955000.0,725946000.0,-3.8986399874941378,-0.5153193212718301,-0.5700141248748646,0.2560690239315503,6.565483820540878,,,True,High Risk
0000950170-22-002096,1451809,SITIME CORP,US,CA,SANTA CLARA,2022-02-25 16:03:00.0,10-K,20211231.0,2021.0,FY,13103000.0,38376000.0,,,173274000.0,4900000.0,59078000.0,-6607000.0,,2223000.0,173274000.0,136011000.0,-0.03813036000784884,-0.04857695333465675,-0.053755654635987894,2.928794932458216,-0.21505246026524463,,,True,High Risk
0000950170-22-002099,1823794,ARKO CORP.,US,VA,RICHMOND,2022-02-25 16:08:00.0,10-K,20211231.0,2021.0,FY,172918000.0,46940000.0,35672000.0,,214776000.0,,-650000.0,13710000.0,0.0,,191581000.0,341231000.0,0.07156242007297174,0.04017806119608125,0.08145538371961762,0.27145814779259536,0.7811317406214604,,0.0,True,High Risk
0000950170-22-002100,940942,"HUB GROUP, INC.",US,IL,OAK BROOK,2022-02-25 16:07:00.0,10-K,20211231.0,2021.0,FY,424923000.0,,,,186058000.0,2300000.0,252835000.0,107171000.0,,17100000.0,1340314000.0,2437294000.0,0.07995962140214904,0.04397130588267152,0.05325608448939087,,0.8184500049988286,,,True,High Risk
0000950170-22-002101,1683606,CARS.COM INC.,US,IL,CHICAGO,2022-02-25 16:07:00.0,10-K,20211231.0,2021.0,FY,15420000.0,93649000.0,,,,98611000.0,101484000.0,7719000.0,,91000.0,340176000.0,1075712000.0,0.022691195146042047,0.007175712458353165,0.007280070018447748,6.073216601815823,2.1622219086590473,,,True,High Risk
0000950170-22-002102,1803901,"TALKSPACE, INC.",US,NY,NEW YORK,2022-02-25 16:09:00.0,10-K,20211231.0,2021.0,FY,7429000.0,5914000.0,,,,300000.0,-65711000.0,-29086000.0,,3102000.0,-98898000.0,223606000.0,0.2941009929422233,-0.13007701045589118,-0.13454715348996424,0.7960694575312963,-3.2609759550243687,,,True,High Risk
0000950170-22-002105,1455684,"TPI COMPOSITES, INC",US,AZ,SCOTTSDALE,2022-02-25 16:23:00.0,10-K,20211231.0,2021.0,FY,,3340000.0,,,349472000.0,1900000.0,-25525000.0,-15708000.0,,2536000.0,-90689000.0,266936000.0,0.17320733495793317,-0.05884556597836185,,,-3.9434220247218517,,,True,High Risk
0000950170-22-002107,1402436,SS&C TECHNOLOGIES HOLDINGS INC,US,CT,WINDSOR,2022-02-25 16:32:00.0,10-K,20211231.0,2021.0,FY,28100000.0,713400000.0,,,4895700000.0,526500000.0,1184700000.0,800000000.0,,7100000.0,-192300000.0,15923600000.0,-4.160166406656266,0.05023989550101736,0.050328709383158754,25.387900355871885,-83.80603224128966,,,True,High Risk
0000950170-22-002112,1124804,"ALLSCRIPTS HEALTHCARE SOLUTIONS, INC.",US,IL,CHICAGO,2022-02-25 16:53:00.0,10-K,20211231.0,2021.0,FY,35905000.0,347355000.0,92525000.0,,1962386000.0,57734000.0,-75428000.0,134438000.0,,1640000.0,-1838000.0,2917618000.0,-73.14363438520131,0.04607799924458925,0.0466521128231715,9.674279348280184,-1588.3873775843308,,,True,High Risk
0000950170-22-002118,910073,NEW YORK COMMUNITY BANCORP INC,US,NY,HICKSVILLE,2022-02-25 17:19:00.0,10-K,20211231.0,2021.0,FY,,,,,,,290000000.0,511000000.0,,31000000.0,297000000.0,56306000000.0,1.7205387205387206,0.009075409370226974,,,188.58249158249157,,,True,High Risk
0000950170-22-002119,863436,BENCHMARK ELECTRONICS INC,US,AZ,TEMPE,2022-02-25 17:22:00.0,10-K,20211231.0,2021.0,FY,282208000.0,309331000.0,100073000.0,,,6384000.0,120438000.0,35770000.0,2053131000.0,10400000.0,989588000.0,294209000.0,0.03614635585718501,0.12158023717833241,2.980584951254062,1.0961099614468761,-0.7026954651834905,0.01742217130811429,6.97847788476899,False,Low Risk
0000950170-22-002120,944314,"LIFE STORAGE, INC.",US,NY,WILLIAMSVILLE,2022-02-25 17:29:00.0,10-K,20211231.0,2021.0,FY,,,,,2671311000.0,5600000.0,278842000.0,2601000.0,166505000.0,2300000.0,2671311000.0,4727848000.0,0.0009736792159355462,0.0005501445900968051,,,0.7698605665907114,0.015621152517942404,0.03521792578780029,True,High Risk
0000950170-22-002143,1725057,CERIDIAN HCM HOLDING INC.,US,MN,MINNEAPOLIS,2022-02-25 21:47:00.0,10-K,20211231.0,2021.0,FY,51700000.0,,,,,28300000.0,48800000.0,78700000.0,,0.0,-229800000.0,6701300000.0,-0.34247171453437775,0.011743989972094967,0.011835298363811357,,-30.161444734551782,,,True,High Risk
0000950170-22-002166,1745999,BEAM THERAPEUTICS INC.,US,MA,CAMBRIDGE,2022-02-28 07:32:00.0,10-K,20211231.0,2021.0,FY,7474000.0,,,,,,-72003000.0,-78326000.0,,4236000.0,826738000.0,1474453000.0,-0.09474101831535504,-0.053122073067096744,-0.05339272068652653,,0.7834586047816842,,,True,High Risk
0000950170-22-002169,1080014,"INNOVIVA, INC.",US,CA,BURLINGAME,2022-02-28 08:19:00.0,10-K,20211231.0,2021.0,FY,27000.0,,,,1260900000.0,,313113000.0,2200000.0,,2056000.0,414743000.0,299300000.0,0.005304489768362577,0.007350484463748747,0.007351147614385527,,-0.2783482783314004,,,True,High Risk
0000950170-22-002187,1142417,"NEXSTAR MEDIA GROUP, INC.",US,TX,IRVING,2022-02-28 10:24:00.0,10-K,20211231.0,2021.0,FY,248183000.0,19800000.0,307192000.0,,,200317000.0,417467000.0,811441000.0,-142298000.0,,2518392000.0,323200000.0,0.3222059949364515,2.510646658415842,10.816761534052281,0.07977983987622037,-0.8716641412456837,-5.702406217937005,-0.44027846534653464,True,High Risk
0000950170-22-002226,203596,WESBANCO INC,US,WV,WHEELING,2022-02-28 13:37:00.0,10-K,20211231.0,2021.0,FY,,,,,1634815000.0,11457000.0,163363000.0,242260000.0,252300000.0,900000.0,46861000.0,15000000000.0,5.16975736753377,0.016150666666666667,,,319.0956018864301,0.9602061038446295,0.01682,True,High Risk
0000950170-22-002280,1592058,PARTY CITY HOLDCO INC.,US,NY,ELMSFORD,2022-02-28 16:03:00.0,10-K,20211231.0,2021.0,FY,161736000.0,93301000.0,160605000.0,,971972000.0,11362000.0,1678000.0,-528238000.0,-143928000.0,796000.0,-31264000.0,2657333000.0,16.896046571136132,-0.19878502242662097,-0.21166798966339517,0.5768721867735075,-85.9965775332651,3.670154521705297,-0.05416257578557147,True,High Risk
0000950170-22-002281,1649094,"VAXCYTE, INC.",US,CA,SAN CARLOS,2022-02-28 16:04:00.0,10-K,20211231.0,2021.0,FY,29785000.0,,8787000.0,,582844000.0,,-121393000.0,-100077000.0,,5434000.0,56000.0,392826000.0,-1787.0892857142858,-0.2547616501962701,-0.27566307937670953,,7013.75,,,True,High Risk
0000950170-22-002289,1029142,DYNAVAX TECHNOLOGIES CORP,US,CA,EMERYVILLE,2022-02-28 16:12:00.0,10-K,20211231.0,2021.0,FY,3312000.0,0.0,49796000.0,,1352374000.0,,335528000.0,-152600000.0,,8058000.0,222374000.0,1039246000.0,-0.6862313040193547,-0.14683722621977857,-0.1473066816997994,0.0,3.673415057515717,,,True,High Risk
0000950170-22-002293,1434316,FATE THERAPEUTICS INC,US,CA,SAN DIEGO,2022-02-28 16:13:00.0,10-K,20211231.0,2021.0,FY,6283000.0,8676000.0,15564000.0,,,,-162870000.0,-98149000.0,,30753000.0,678838000.0,622457000.0,-0.1445838329616197,-0.15767996825483527,-0.15928779857637615,1.3808690116186535,-0.0830551619090269,,,True,High Risk
0000950170-22-002294,1519751,"FORTUNE BRANDS HOME & SECURITY, INC.",US,IL,DEERFIELD,2022-02-28 16:14:00.0,10-K,20211231.0,2021.0,FY,764900000.0,734900000.0,,,3018300000.0,17800000.0,825700000.0,431900000.0,2469000000.0,1300000.0,,7936200000.0,,0.05442151155464832,0.060226179353813115,0.9607791868218067,,0.1749291211016606,0.31110607091555154,True,High Risk
0000950170-22-002295,1706431,"VIR BIOTECHNOLOGY, INC.",US,CA,SAN FRANCISCO,2022-02-28 16:16:00.0,10-K,20211231.0,2021.0,FY,6521000.0,773079000.0,,,,500000.0,-47589000.0,-174683000.0,8091000.0,8719000.0,423942000.0,918761000.0,-0.4120445721348675,-0.19012888008959894,-0.19148798561781988,118.55221591780402,1.1671856055781216,-21.589791125942405,0.008806425174773418,True,High Risk
0000950170-22-002297,1628171,"REVOLUTION MEDICINES, INC.",US,CA,REDWOOD CITY,2022-02-28 16:16:00.0,10-K,20211231.0,2021.0,FY,12609000.0,,,,1055572000.0,1100000.0,-147180000.0,-108159000.0,,1789000.0,602568000.0,737988000.0,-0.17949675389333652,-0.14655929364705117,-0.14910688067892786,,0.22473812084279285,,,True,High Risk
0000950170-22-002299,1493566,"OTONOMY, INC.",US,CA,SAN DIEGO,2022-02-28 16:17:00.0,10-K,20211231.0,2021.0,FY,1090000.0,,2953000.0,,570841000.0,,-38874000.0,-44731000.0,,13000.0,54907000.0,106265000.0,-0.8146684393611014,-0.4209382204865196,-0.42530068932731163,,0.9353634327134974,,,True,High Risk
0000950170-22-002302,1595893,"TURNING POINT THERAPEUTICS, INC.",US,CA,SAN DIEGO,2022-02-28 16:23:00.0,10-K,20211231.0,2021.0,FY,5225000.0,,,,1472421000.0,,-57684000.0,-72131000.0,,5600000.0,954425000.0,1003463000.0,-0.0755753464127616,-0.0718820723833365,-0.07225831915835702,,0.05137962647667444,,,True,High Risk
0000950170-22-002303,1826892,"BIOATLA, INC.",US,CA,SAN DIEGO,2022-02-28 16:26:00.0,10-K,20211231.0,2021.0,FY,1179000.0,,,,,,-9645000.0,-95402000.0,300000.0,-6403000.0,210821000.0,244937000.0,-0.4525260766242452,-0.38949607450079,-0.39137997522132606,,0.16182448617547587,-318.00666666666666,0.0012248047457101214,True,High Risk
0000950170-22-002309,1746618,"REVOLVE GROUP, INC.",US,CA,CERRITOS,2022-02-28 16:35:00.0,10-K,20211231.0,2021.0,FY,54345000.0,4621000.0,33899000.0,,86040000.0,300000.0,62313000.0,51426000.0,,2100000.0,317014000.0,9429000.0,0.16221996504886219,5.45402481705377,-1.1449372161367888,0.08503082160272334,-0.9702568340830373,,,True,High Risk
0000950170-22-002310,1712463,RANPAK HOLDINGS CORP.,US,OH,CONCORD TOWNSHIP,2022-02-28 16:32:00.0,10-K,20211231.0,2021.0,FY,24900000.0,43700000.0,,,,16300000.0,9600000.0,-19000000.0,81300000.0,22500000.0,17900000.0,1133500000.0,-1.0614525139664805,-0.016762240846934274,-0.01713873353779542,1.7550200803212852,62.324022346368714,-0.23370233702337023,0.07172474636082929,True,High Risk
0000950170-22-002312,1382101,"SUTRO BIOPHARMA, INC.",US,CA,SOUTH SAN FRANCISCO,2022-02-28 16:32:00.0,10-K,20211231.0,2021.0,FY,5544000.0,5559000.0,11417000.0,,559746000.0,,-65023000.0,-55744000.0,11321000.0,2208000.0,252564000.0,394111000.0,-0.2207123738933498,-0.14144238552083044,-0.14346045855669678,1.0027056277056277,0.5604401260670563,-4.92394664782263,0.028725409846464576,True,High Risk
0000950170-22-002319,1374535,ALTRA INDUSTRIAL MOTION CORP.,US,MA,BRAINTREE,2022-02-28 16:43:00.0,10-K,20211231.0,2021.0,FY,163600000.0,11300000.0,,,1718400000.0,69800000.0,255900000.0,127200000.0,,13200000.0,100000.0,4208100000.0,1272.0,0.030227418549939402,0.031450117443441714,0.06907090464547677,42080.0,,,True,High Risk
0000950170-22-002322,1293282,TECHTARGET INC,US,MA,NEWTON,2022-02-28 16:47:00.0,10-K,20211231.0,2021.0,FY,,51095000.0,,,363055000.0,500000.0,52453000.0,949000.0,,4663000.0,55000.0,789000000.0,17.254545454545454,0.001202788339670469,,,14344.454545454546,,,True,High Risk
0000950170-22-002327,1784797,BROADMARK REALTY CAPITAL INC.,US,WA,SEATTLE,2022-02-28 17:01:00.0,10-K,20211231.0,2021.0,FY,,,,,,,5640000.0,90231000.0,,,132000.0,1187319000.0,683.5681818181819,0.07599558332680602,,,8993.84090909091,,,True,High Risk
0000950170-22-002330,1811414,QUANTUMSCAPE CORP,US,CA,SAN JOSE,2022-02-28 17:03:00.0,10-K,20211231.0,2021.0,FY,14182000.0,,3356000.0,,2329406000.0,,-61263000.0,-45966000.0,,7135000.0,-4208000.0,1066769000.0,10.923479087452472,-0.043088991149911555,-0.04366954940541732,,-254.5097433460076,,,True,High Risk
0000950170-22-002332,1811063,NUVATION BIO INC.,US,CA,SAN FRANCISCO,2022-02-28 17:06:00.0,10-K,20211231.0,2021.0,FY,2171000.0,,12137000.0,,,,-68200000.0,-86848000.0,,2202000.0,421000.0,776151000.0,-206.2897862232779,-0.11189575224408653,-0.1122096178195819,,1842.5890736342042,,,True,High Risk
0000950170-22-002334,1529864,"ENOVA INTERNATIONAL, INC.",US,IL,CHICAGO,2022-02-28 17:08:00.0,10-K,20211231.0,2021.0,FY,,,,,225689000.0,1800000.0,848639000.0,36612000.0,55900000.0,4300000.0,917348000.0,799832000.0,0.03991069910219459,0.04577461266866042,,,-0.12810405647584122,0.6549552772808587,0.06988967683213475,True,High Risk
0001000228-22-000016,1000228,HENRY SCHEIN INC,US,NY,MELVILLE,2022-02-15 14:14:00.0,10-K,20211231.0,2021.0,FY,1053934000.0,1451829000.0,,,,123800000.0,654087000.0,631232000.0,,44900000.0,3425126000.0,6503089000.0,0.18429453398210752,0.09706648640361526,0.11584034588849097,1.3775331282604033,0.8986422689267489,,,True,High Risk
0001000753-22-000009,1000753,"INSPERITY, INC.",US,TX,KINGWOOD,2022-02-10 18:27:00.0,10-K,20211231.0,2021.0,FY,6412000.0,6559000.0,60777000.0,,95528000.0,,260155000.0,124080000.0,,,-1774000.0,1584276000.0,-69.94363021420519,0.07831968672125311,0.07863795612296116,1.0229257641921397,-894.0529875986472,,,True,High Risk
0001001250-22-000006,1001250,ESTEE LAUDER COMPANIES INC,US,NY,NEW YORK,2022-02-03 12:06:00.0,10-Q,20211231.0,2022.0,Q2,,442000000.0,,,5335000000.0,52000000.0,1978000000.0,,,,10000000.0,21971000000.0,,,,,2196.1,,,True,High Risk
0001002517-22-000017,1002517,"NUANCE COMMUNICATIONS, INC.",US,MA,BURLINGTON,2022-02-07 16:03:00.0,10-Q,20211231.0,2022.0,Q1,90120000.0,162292000.0,154276000.0,,,11969000.0,13850000.0,14895000.0,345753000.0,7206000.0,,3386653000.0,,0.004398147669690399,0.004518383404625405,1.800843320017754,,0.043079886508576935,0.1020928332486381,True,High Risk
0001002638-22-000012,1002638,OPEN TEXT CORP,CA,ON,ONTARIO CANADA,2022-02-03 17:18:00.0,10-Q,20211231.0,2022.0,Q2,63321000.0,438547000.0,82204000.0,,,109919000.0,406313000.0,220213000.0,,1930000.0,4128763000.0,10164530000.0,0.0533363140485419,0.021664848251714542,0.02180065772324877,6.925775019345872,1.46188265105069,,,True,High Risk
0001002910-22-000038,1002910,AMEREN CORP,US,MO,ST LOUIS,2022-02-22 18:43:00.0,10-K,20211231.0,2021.0,FY,,228000000.0,,,,,679000000.0,379000000.0,329000000.0,5000000.0,8059000000.0,18722000000.0,0.04702816726641022,0.020243563721824592,,,1.3231170120362328,1.1519756838905775,0.017572908877256703,True,High Risk
0001004434-22-000017,1004434,"AFFILIATED MANAGERS GROUP, INC.",US,FL,WEST PALM BEACH,2022-02-18 16:23:00.0,10-K,20211231.0,2021.0,FY,,,,,651600000.0,93400000.0,1259200000.0,565700000.0,2659700000.0,63400000.0,2786400000.0,7888900000.0,0.20302182026988227,0.07170834970654971,,,1.8312159058283088,0.21269316088280632,0.33714459557099213,True,High Risk
0001004702-22-000022,1004702,OCEANFIRST FINANCIAL CORP,US,NJ,TOMS RIVER,2022-02-25 19:15:00.0,10-K,20211231.0,2021.0,FY,,,,,1146781000.0,,59324000.0,63309000.0,,1600000.0,378268000.0,11448313000.0,0.16736546575443864,0.0055299850729098685,,,29.265084543233897,,,True,High Risk
0001004980-22-000009,1004980,PG&E CORP,US,CA,SAN FRANCISCO,2022-02-10 08:07:00.0,10-K,20211231.0,2021.0,FY,,2345000000.0,200000000.0,,,,-19130000000.0,,20642000000.0,35000000.0,25476000000.0,97462000000.0,,,,,2.8256398178677973,,0.211795366399212,True,High Risk
0001005276-22-000013,1005276,MOHEGAN TRIBAL GAMING AUTHORITY,US,CT,UNCASVILLE,2022-02-09 14:16:00.0,10-Q,20211231.0,2022.0,Q1,,44718000.0,,,,,-23398000.0,-26621000.0,,,-135152000.0,2729877000.0,0.19697081804190836,-0.009751721414554574,,,-21.19856901858648,,,True,High Risk
0001006655-22-000007,1006655,EVOLUTION PETROLEUM CORP,US,TX,HOUSTON,2022-02-10 16:27:00.0,10-Q,20211231.0,2022.0,Q2,5609367.0,8686967.0,,,,,1223957.0,12050573.0,,,41901421.0,76705662.0,0.28759342075773514,0.15710147967955743,0.16949649767262837,1.5486537072721396,0.8306219734170829,,,True,High Risk
0001008654-22-000008,1008654,TUPPERWARE BRANDS CORP,US,FL,ORLANDO,2022-02-23 17:18:00.0,10-K,20211231.0,2021.0,FY,123300000.0,86200000.0,287900000.0,,,,,18600000.0,,,-207100000.0,94900000.0,-0.08981168517624336,0.19599578503688092,-0.6549295774647887,0.6991078669910786,-1.4582327378078224,,,True,High Risk
0001010549-22-000029,65759,MICROPAC INDUSTRIES INC,US,TX,GARLAND,2022-02-09 16:48:00.0,10-K,20211130.0,2021.0,FY,843000.0,,8491000.0,,,,3831000.0,1472000.0,22274000.0,,32267000.0,31701000.0,0.045619363436328136,0.046433866439544495,0.04770237863763044,,-0.017541141103914217,0.06608601957439167,0.7026276773603356,True,High Risk
0001010549-22-000038,811868,"ECRID, INC",US,FL,WEST PALM BEACH,2022-02-15 17:04:00.0,10-Q,20211231.0,2021.0,Q3,,,,,,,63304.0,-2608.0,0.0,,-7795118.0,35632.0,0.0003345683798500549,-0.07319263583295914,,,-1.0045710661467857,,0.0,True,High Risk
0001013462-22-000005,1013462,ANSYS INC,US,PA,CANONSBURG,2022-02-23 16:38:00.0,10-K,20211231.0,2021.0,FY,18691000.0,645891000.0,151879000.0,,,15213000.0,547310000.0,454627000.0,279744000.0,4100000.0,4484048000.0,5940590000.0,0.10138763010565453,0.07652893062810259,0.07677047514657039,34.5562570220962,0.3248274773151402,1.6251537119652253,0.047090272178352655,False,Low Risk
0001013857-22-000042,1013857,PEGASYSTEMS INC,US,MA,CAMBRIDGE,2022-02-16 16:13:00.0,10-K,20211231.0,2021.0,FY,24028000.0,182717000.0,63890000.0,,61604000.0,3970000.0,-563000.0,-90433000.0,,1860000.0,796000.0,1604262000.0,-113.60929648241206,-0.05637046816542435,-0.05722760046929758,7.6043366072914935,2014.4045226130654,,,True,High Risk
0001013871-22-000010,1013871,"NRG ENERGY, INC.",US,TX,HOUSTON,2022-02-24 17:13:00.0,10-K,20211231.0,2021.0,FY,2274000000.0,647000000.0,,,8517000000.0,25000000.0,1413000000.0,-1098000000.0,-8000000.0,9000000.0,,649000000.0,,-1.691833590138675,0.6756923076923077,0.28452066842568163,,137.25,-0.012326656394453005,True,High Risk
